Participant_ID,Dates,Distance
p02,2019-11-06,9.356687
p02,2019-11-07,0.0
p02,2019-11-08,0.0
p02,2019-11-09,0.0
p02,2019-11-10,0.0
p02,2019-11-11,10.433976
p02,2019-11-12,0.0
p02,2019-11-13,7.069617
p02,2019-11-14,0.0
p02,2019-11-15,0.0
p02,2019-11-16,8.814726
p02,2019-11-18,5.15725
p02,2019-11-20,0.0
p02,2019-11-21,0.0
p02,2019-11-22,0.0
p02,2019-11-23,0.0
p02,2019-11-25,10.148828
p02,2019-11-26,0.0
p02,2019-11-27,5.013421
p02,2019-11-29,0.0
p02,2019-11-30,0.0
p02,2019-12-01,0.0
p02,2019-12-02,0.0
p02,2019-12-03,0.0
p02,2019-12-04,0.0
p02,2019-12-05,0.0
p02,2019-12-06,0.0
p02,2019-12-07,0.0
p02,2019-12-08,6.520648
p02,2019-12-09,0.0
p02,2019-12-11,0.0
p02,2019-12-12,0.0
p02,2019-12-13,9.282632
p02,2019-12-14,0.0
p02,2019-12-15,5.789148
p02,2019-12-16,0.0
p02,2019-12-17,0.0
p02,2019-12-18,6.50546
p02,2019-12-19,0.0
p02,2019-12-20,21.064785999999998
p02,2019-12-21,0.0
p02,2019-12-22,0.0
p02,2019-12-24,5.905195
p02,2019-12-25,0.0
p02,2019-12-26,0.0
p02,2019-12-27,0.0
p02,2019-12-28,5.447265
p02,2019-12-29,0.0
p02,2019-12-30,0.0
p02,2020-01-02,0.0
p02,2020-01-03,0.0
p02,2020-01-04,0.0
p02,2020-01-05,0.0
p02,2020-01-06,0.0
p02,2020-01-07,7.672203
p02,2020-01-08,0.0
p02,2020-01-09,0.0
p02,2020-01-10,9.116218
p02,2020-01-12,0.0
p02,2020-01-13,0.0
p02,2020-01-14,6.9239370000000005
p02,2020-01-15,0.0
p02,2020-01-16,0.0
p02,2020-01-17,9.60489
p02,2020-01-18,0.0
p02,2020-01-19,0.0
p02,2020-01-20,0.0
p02,2020-01-21,4.1955
p02,2020-01-22,0.0
p02,2020-01-23,7.560828
p02,2020-01-24,0.0
p02,2020-01-25,0.0
p02,2020-01-26,0.0
p02,2020-01-27,11.263781
p02,2020-01-28,0.0
p02,2020-01-29,0.0
p02,2020-01-30,0.0
p02,2020-01-31,0.0
p02,2020-02-01,0.0
p02,2020-02-02,0.0
p02,2020-02-03,0.0
p02,2020-02-04,0.0
p02,2020-02-05,0.0
p02,2020-02-06,0.0
p02,2020-02-07,0.0
p02,2020-02-08,0.0
p02,2020-02-09,0.0
p02,2020-02-10,0.0
p02,2020-02-11,0.0
p02,2020-02-12,0.0
p02,2020-02-13,0.0
p02,2020-02-14,0.0
p02,2020-02-15,0.900226
p02,2020-02-16,5.567234
p02,2020-02-17,0.0
p02,2020-02-18,0.0
p02,2020-02-19,0.0
p02,2020-02-20,0.0
p02,2020-02-21,0.8250000000000001
p02,2020-02-22,0.0
p02,2020-02-23,0.0
p02,2020-02-24,0.0
p02,2020-02-26,0.0
p02,2020-02-27,9.676679
p02,2020-02-29,0.0
p02,2020-03-01,0.0
p02,2020-03-02,0.0
p02,2020-03-03,8.682789
p02,2020-03-04,0.0
p02,2020-03-05,0.0
p02,2020-03-06,0.0
p02,2020-03-07,0.0
p02,2020-03-08,0.0
p02,2020-03-09,0.0
p02,2020-03-10,0.0
p02,2020-03-11,0.0
p02,2020-03-12,0.0
p02,2020-03-13,0.0
p02,2020-03-14,8.361945
p02,2020-03-15,0.0
p02,2020-03-16,0.0
p02,2020-03-17,0.0
p02,2020-03-18,0.0
p02,2020-03-19,11.090976
p02,2020-03-20,0.0
p02,2020-03-21,0.0
p02,2020-03-22,0.0
p02,2020-03-23,9.549601
p02,2020-03-24,0.0
p02,2020-03-25,0.0
p02,2020-03-26,0.0
p02,2020-03-27,0.0
p02,2020-03-28,0.0
p02,2020-03-29,0.0
p02,2020-03-30,0.0
p02,2020-03-31,0.0
